	Username	Text	mentions	retweets	hastags	geo	favorites	date	month	day	hour
0		Thanks to all who came to our @NUIGsolidariTEA #solidariTEA event at #LeinsterHouse today @aliceeire @cathmartingreen @oclochartaigh pic.twitter.com/3vOr0i4F5g	@NUIGsolidariTEA @aliceeire @cathmartingreen @oclochartaigh	12	#solidariTEA #LeinsterHouse		30	2017-12-07 14:03:01	12	7	14
0		Showing some #solidariTEA with @NUIGsolidariTEA today pic.twitter.com/LnXqzFwf25	@NUIGsolidariTEA	4	#solidariTEA		11	2017-12-07 13:58:55	12	7	13
0		@folieadeuxed and myself out with #solidariTEA Femsoc, 8journal and NUIG students stand behind the 4 female lecturers. pic.twitter.com/ilrEwxPEBh	@folieadeuxed	6	#solidariTEA		8	2017-12-07 13:50:11	12	7	13
0		Listening to @kellycoate discuss her research on gender discrimination in higher education as part of #solidariTEA . https:// twitter.com/GSkupinski93/s tatus/938727625010315265 …	@kellycoate	5	#solidariTEA		6	2017-12-07 13:48:10	12	7	13
0		Myself @folieadeuxed @nagemtweets @sarahcantthink at #solidariTEA @NUIGsolidariTEA pic.twitter.com/iborKVnYZt	@folieadeuxed @nagemtweets @sarahcantthink @NUIGsolidariTEA	6	#solidariTEA		6	2017-12-07 13:47:18	12	7	13
0		@aoifelen @NUIGsolidariTEA Meeting for coffee to show our #solidariTEA for colleagues in NUIG pic.twitter.com/DatgC8cX1B	@aoifelen @NUIGsolidariTEA	6	#solidariTEA		12	2017-12-07 13:46:49	12	7	13
0		#solidariTEA pic.twitter.com/75dRwOfJF8		4	#solidariTEA		7	2017-12-07 13:43:42	12	7	13
0		Love it!! Having a cuppa in support #solidariTEA		3	#solidariTEA		4	2017-12-07 13:38:42	12	7	13
0		Great day for @nuigalway massive support @NUIGsolidariTEA #solidariTEA @Afshin_Samali pic.twitter.com/PIMzifhTiL	@nuigalway @NUIGsolidariTEA @Afshin_Samali	6	#solidariTEA		11	2017-12-07 13:37:03	12	7	13
0		Great to see cross party support at #solidariTEA for @NUIGsolidariTEA pic.twitter.com/MaD8z5wAIf	@NUIGsolidariTEA	12	#solidariTEA		33	2017-12-07 13:35:26	12	7	13
